date,time,competition,round,day,venue,result,goal_scored,goal_conceded,opponent,possession,opponent_possession,attendance,captain,referee,formation,opponent_formation,passing_accuracy_percentage,opponent_passing_accuracy_percentage,total_pass_attempt,opponent_total_pass_attempt,successful_pass,opponent_successful_pass,shots_on_target_percentage,opponent_shots_on_target_percentage,shots_on_target_attempt,opponent_shots_on_target_attempt,successful_shots_on_target,opponent_successful_shots_on_target,saves_percentage,opponent_saves_percentage,saves_attempt,opponent_saves_attempt,successful_saves,opponent_successful_saves,yellow_card,opponent_yellow_card,yellow_red_card,opponent_yellow_red_card,red_card,opponent_red_card,fouls,opponent_fouls,crosses,opponent_crosses,touches,opponent_touches,tackles,opponent_tackles,interceptions,opponent_interceptions,aerials_won,opponent_aerials_won,clearances,opponent_clearances,offsides,opponent_offsides,goal_kicks,opponent_goal_kicks,throw_ins,opponent_throw_ins,notes
2021-08-15,20:00,La Liga,Matchweek 1,Sun,Home,W,4,2,Real Sociedad,63,37,20384,Sergio Busquets,Alejandro Hernández,4-3-3,4-2-3-1,87.37,77.84,594,352,519,274,61.54,27.27,13,11,8,3,0.0,0.0,3,8,0,0,2,4,0,0,0,0,11,21,7,4,725,461,14,21,15,18,11,11,12,21,1,2,6,3,38,21,
2021-08-21,22:00,La Liga,Matchweek 2,Sat,Away,D,1,1,Athletic Club,67,33,9394,Sergio Busquets,Juan Martínez,4-3-3,4-4-2,86.67,69.74,630,304,546,212,33.33,37.5,9,16,3,6,0.0,0.0,6,3,0,0,2,1,0,0,1,0,13,19,16,18,765,426,13,14,18,15,15,13,34,28,2,3,10,9,20,14,
2021-08-29,17:00,La Liga,Matchweek 3,Sun,Home,W,2,1,Getafe,67,33,26543,Sergio Busquets,Pablo González,4-3-3,4-4-2,86.17,75.7,716,358,617,271,42.86,37.5,7,8,3,3,0.0,0.0,3,3,0,0,3,1,0,0,0,0,18,23,7,8,821,465,22,21,15,27,12,15,9,9,3,1,7,3,22,15,
2021-09-14,21:00,Champions Lg,Group stage,Tue,Home,L,0,3,Bayern Munich,48,52,39737,Sergio Busquets,Michael Oliver,3-5-2,4-2-3-1,87.7,87.34,569,608,499,531,0.0,41.18,5,17,0,7,0.0,0.0,7,0,0,0,1,2,0,0,0,0,10,15,7,12,669,693,13,19,13,14,10,8,12,10,2,2,8,5,15,12,
2021-09-20,21:00,La Liga,Matchweek 5,Mon,Home,D,1,1,Granada,77,23,27097,Sergio Busquets,Santiago Jaime,4-3-3,4-1-4-1,86.62,66.36,710,214,615,142,35.29,40.0,17,5,6,2,0.0,0.0,2,6,0,0,3,6,0,0,0,0,16,26,40,4,829,360,20,18,5,10,30,17,19,50,1,0,3,15,15,12,
2021-09-23,22:00,La Liga,Matchweek 6,Thu,Away,D,0,0,Cádiz,67,33,12180,Sergio Busquets,Carlos del Cerro,4-3-3,4-4-2,86.4,70.48,662,332,572,234,28.57,23.08,7,13,2,3,0.0,0.0,3,2,0,0,4,3,1,0,0,0,7,17,14,16,811,472,22,28,3,15,16,15,37,30,1,1,8,6,22,24,
2021-09-26,16:15,La Liga,Matchweek 7,Sun,Home,W,3,0,Levante,70,30,35334,Sergio Busquets,Isidro Díaz de Mera,4-2-3-1,4-4-2,90.22,74.21,736,318,664,236,50.0,33.33,20,6,10,2,0.0,0.0,2,10,0,0,1,3,0,0,0,0,12,20,20,6,851,426,13,25,7,15,11,7,9,26,0,0,7,13,14,14,
2021-09-29,20:00,Champions Lg,Group stage,Wed,Away,L,0,3,Benfica,59,41,29454,Sergio Busquets,Daniele Orsato,3-4-1-2,3-4-3,86.67,83.08,570,396,494,329,0.0,45.45,8,11,0,5,0.0,0.0,5,0,0,0,5,4,1,0,0,0,16,14,20,6,669,517,20,16,9,7,9,13,10,20,4,1,5,8,19,18,
2021-10-02,21:00,La Liga,Matchweek 8,Sat,Away,L,0,2,Atlético Madrid,70,30,60594,Sergio Busquets,César Soto,4-2-3-1,3-5-2,89.49,74.62,761,327,681,244,22.22,50.0,9,6,2,3,0.0,0.0,3,2,0,0,1,2,0,0,0,0,10,13,12,5,847,420,13,22,8,13,12,10,13,21,3,0,8,12,19,15,
2021-10-17,21:00,La Liga,Matchweek 9,Sun,Home,W,3,1,Valencia,60,40,47317,Sergio Busquets,Jesús Gil,4-3-3,4-1-4-1,86.46,79.1,576,378,498,299,36.36,33.33,11,9,4,3,0.0,0.0,3,4,0,0,2,3,0,0,0,0,18,18,14,10,683,501,15,22,9,18,6,17,9,20,3,2,6,8,16,18,
